Abreen,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,
6,,,Lying,Liberals,There,is,no,line,they,won,t,cross,to,bring,down,the,greatest,President,of,ou\u2026,,,,,,,,,,
Abreen,offensive ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Clary,normal ,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lei,hatespeech ,Other,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,
7,,,Lmfao,Feminism,is,really,a,disease,now,Women,always,trying,to,bring,men,down,in,all,aspects,of,life,,,,,,,,,
Abreen,hatespeech ,Women ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Clary,offensive ,Women ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lei,offensive ,Women ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
8,,,These,feminazis,are,bring,on,a,new,Victorian,era,Men,became,celibate,to,protect,themselves,from,disease\u2026,,,,,,,,,,,
Abreen,hatespeech ,Women ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Clary,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Lei,offensive ,Women ,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,,,,,,,,,,,
9,,,Ching,Chang,Chong,Do,you,understand,chinky,boy,Does,Communist,government,allow,you,to,use\u2026,URL,,,,,,,,,,,,
Abreen,hatespeech ,Asian ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Clary,,Asian ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
Lei,hatespeech ,Asian ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
10,,,I,HAVE,NEVER,EVER,SEEN,THIS,MUCH,\ud83d\udca9\ud83d\udca9\ud83d\udca9,PACKED,AROUND,A,SINGLE,\n,\nGU\u2026,,,,,,,,,,,,,,
Abreen,hatespeech ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Clary,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Lei,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
11,,,A,feminist,will,spend,hours,telling,you,\u201cmen,are,trash\u201d\n\nThen,start,complaining,about,how,they,should,be,equal,,,,,,,,,,
Abreen,hatespeech ,Women ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Clary,offensive ,Women ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Lei,offensive ,Women ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,
12,,,The,feminist,movement,has,been,the,biggest,threat,to,women,in,my,lifetime,In,their,effort,to,empow\u2026,,,,,,,,,,
Abreen,offensive ,Women ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Clary,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lei,offensive ,Women ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
13,,,You,cheating,on,me,your,black,boyfriend,with,a,WHIGGER,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Caucasian ,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Caucasian ,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Caucasian ,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
14,,,\fuck,your,optics\,ok,whigger,,,,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Caucasian ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Caucasian ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Caucasian ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
15,,,lol,at,how,\leading,HBD,bloggers\,a,Bengali,cuckold,with,a,jarringly,gay,voice,a,dravidian,male,posing,as,a,whit\u2026,,,,,,,
Abreen,offensive ,Homosexual ,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,
Clary,offensive ,Asian ,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,
Lei,offensive ,Asian ,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,
16,,,I,m,going,with,the,whigger,on,this,one,Mike,,,,,,,,,,,,,,,,,,
Abreen,offensive ,Caucasian ,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
Clary,offensive ,Caucasian ,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
Lei,offensive ,Caucasian ,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
17,,,call,me,a,retarded,cat,thing,alien,thing,again,and,ill,fuck,your,cat,in,front,if,your,gold,fish,faggot,,,,,,,
Abreen,hatespeech ,Homosexual ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,
Clary,hatespeech ,Homosexual ,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,
Lei,hatespeech ,Homosexual ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
18,,,u,r,ugly,and,retarded,u,stupid,piece,of,shit,flaming,faggot,kill,ur,self,,,,,,,,,,,,,
Abreen,hatespeech ,Homosexual ,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,
Clary,hatespeech ,Homosexual ,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,,,,,,,,,,,,,
Lei,hatespeech ,Homosexual ,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,,,,,,,,,,,,,
19,,,This,faggot,next,to,me,at,the,gym,is,a,Sox,fan,and,everyone,looking,at,him,like,he\u2019s,retarded,,,,,,,,
Abreen,hatespeech ,Homosexual ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
Clary,offensive ,Homosexual ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
Lei,offensive ,Homosexual ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,
20,,,When,people,get,offended,by,insults,and,jokes,with,words,like,retarded,autistic,faggot,etc,,,,,,,,,,,,,
Abreen,offensive ,Homosexual ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,
Clary,offensive ,Homosexual ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,
Lei,offensive ,Homosexual ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,
21,,,pal,we,re,not,always,gonna,be,no,the,same,wavelength,you,twat,,,,,,,,,,,,,,,
Abreen,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Clary,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Lei,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
22,,,HMMM,BOMB,SCARES,Stocks,Falling,Gas,Prices,Interest,Rates,Rising,Migrants,Marching,Leftist,Violence,Made,up,,,,,,,,,,,,
Abreen,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Clary,offensive ,Refugee ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
Lei,normal ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
23,,,What,do,you,expect,from,expired,country,like,Nigeria,a,shithole,and,fantastically,corrupt,one,indeed,Biafra,Natio\u2026,,,,,,,,,,
Abreen,offensive ,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
Clary,offensive ,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,
Lei,offensive ,African ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,
24,,,I,want,to,punch,his,face,so,fucking,much,disrespectful,ching,chong,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Asian ,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,
Clary,hatespeech ,Asian ,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,
Lei,hatespeech ,Asian ,0,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,
25,,,Not,everybody,wants,to,hear,ching,chang,Chong,sir,Also,I,bet,you,dont,even,know,Japanese,,,,,,,,,,,
Abreen,normal',Asian ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Clary,normal ,Asian ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Lei,offensive ,Asian ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
26,,,Ching,Chong,Ring,Rong,I,don,t,speak,the,language,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Asian ,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Clary,offensive ,Asian ,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Asian ,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
27,,,Ching,Chong,lookin,ass,,,,,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Asian ,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Asian ,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Asian ,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
28,,,since,im,japanese,heres,some,japanese,terms,ill,teach,u,ching,chong,ling,long,long,d0ng,,,,,,,,,,,,
Abreen,offensive ,Asian ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,
Clary,offensive ,Asian ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,
Lei,offensive ,Asian ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,
29,,,why,do,niggas,act,like,they,are,retarded,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Lei,offensive ,African ,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
30,,,SEE,U,IN,HELL,DOWNY,SCREW,YOUR,STUPID,ASS,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,,0,0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,,0,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,personal ,0,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,
31,,,Faggot,fucking,sellout,no,iq,pebble,brain,autistic,slut,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Homosexual ,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Homosexual ,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Homosexual ,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
32,,,Are,you,a,chinaman,or,a,wetback,Looks,like,a,combo,to,me,,,,,,,,,,,,,,,
Abreen,hatespeech ,Refugee ,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
33,,,Laflare,VibeHi,did,all,that,MAGA,tap,dancing,and,they,still,kicked,him,out,the,White,House,like,the,nigger,he,is,,,,,,
Abreen,normal ,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Clary,offensive ,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
Lei,offensive ,African ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
34,,,is,a,disgrace,it,wants,to,trash,the,US,and,make,it,another,shithole,country,,,,,,,,,,,,,
Abreen,hatespeech ,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Clary,offensive ,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Lei,hatespeech ,personal ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
35,,,Poor,Sweden,Turning,into,shithole,country,But,those,eurofruits,don\u2019t,want,to,help,themselves,so,w\u2026,,,,,,,,,,,,
Abreen,hatespeech ,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
Clary,offensive ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Lei,hatespeech ,unknown ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
36,,,Boutta,hit,the,raghead,tire,shop,again,with,Zane,\ud83d\ude02\ud83d\ude02,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Arab  ,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Clary,offensive ,Arab ,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Arab ,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
37,,,No,one,gives,a,crap,about,this,raghead,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Arab ,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Arab ,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Arab ,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
38,,,I\u2019ve,never,seen,a,story,so,overhyped,as,this,Jamal,Khashoggi,bullshit,Americans,don\u2019t,care,if,some,raghead,reporte\u2026,,,,,,,,,
Abreen,hatespeech ,Arab ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,
Clary,hatespeech ,Arab ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,
Lei,hatespeech ,Arab ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,
39,,,I,wanna,kill,em,raghead,style,pour,acid,on,them,and,shove,razor,wire,up,their,ass,that,s,what,th\u2026,,,,,,,
Abreen,hatespeech ,Arab ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
Clary,hatespeech ,Arab ,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,,,,,,,
Lei,hatespeech ,Arab ,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,,,,,,,
40,,,Never,see,me,going,to,a,Country,,,,,,,,,,,,,,,,,,,,,
Abreen,normal,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Clary,normal ,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Lei,normal ,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
41,,,You,re,obsessed,negro,jew,\n\nI,m,not,bowing,to,your,bullshit,ever,You,deaf,lesion,brained,con,\n\nI,will,keep,tellin\u2026,,,,,,
Abreen,hatespeech ,Jewish ,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,,,,,
Clary,hatespeech ,Jewish ,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,,,,,,
Lei,hatespeech ,Jewish ,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,,,,,
42,,,Hodgetwins,react,was,called,a,\u201ctoken,negro\u201d,and,a,\u201cdumb,negro\u201d,\nCNN,is,full,blown,RACIST,\u2026,,,,,,,,,,,
Abreen,hatespeech ,African ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,
Clary,hatespeech ,African ,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,
Lei,hatespeech ,African ,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,
43,,,Black,own,businesses,is,gone,bc,of,illegal,immigrants,\nThink,abt,it,if,undocumented,ppl,are,illegal,then,legal,,,,,,,,,
Abreen,hatespeech ,African ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Clary,hatespeech ,African ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lei,hatespeech ,African ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
44,,,If,you,are,making,jokes,about,the,scenes,in,Leicester,right,now,you,re,a,cunt,,,,,,,,,,,,
Abreen,hatespeech ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Clary,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
Lei,offensive ,Women ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
45,,,You,are,a,green,tea,drinking,muzzie,doing,taqqiya,by,drinking,Brahminical,hindu,coffee,and,non,brahminical,hindu,tea,\ud83d\ude02\ud83d\ude02\ud83d\ude02,,,,,,,,
Abreen,hatespeech ,Asian ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Clary,offensive ,Asian ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lei,offensive ,Asian ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
46,,,Green,tea,You,muzzie,Stop,your,taqqiya,\ud83d\ude02\ud83d\ude02,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Asian ,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clary,offensive ,Asian ,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,
Lei,offensive ,Asian ,1,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
47,,,His,fake,rap,is,nauseating,He,s,a,Muzzie,and,never,did,squat,for,Black,Americans,He,s,ou\u2026,,,,,,,,,
Abreen,hatespeech ,African ,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,
Clary,hatespeech ,African ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,
Lei,hatespeech ,African ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
48,,,Brother,Nature,ain,t,black,no,more,huh,He,just,a,spic,to,y,all,now,right,Ain,t,trying,to,hold,the,dominirican,homie,down,at,a
Abreen,hatespeech ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clary,hatespeech ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lei,normal ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,,Teddy,fat,sorry,ass,wrong,for,how,he,doing,Jadah,all,because,he,want,that,wetback,Tati,\ud83d\ude12\ud83e\udd2c,his,lame,no,pussy,getting\u2026,,,,,
Abreen,hatespeech ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,
Clary,hatespeech ,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,
Lei,hatespeech ,other ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,
50,,,Go,back,to,Guatemala,you,stinking,wetbac,,,,,,,,,,,,,,,,,,,,,
Abreen,hatespeech ,Refugee ,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
51,,,Communist,wetback,douchebag,is,such,a,drag,on,his,team,send,him,back,to,cuba,,,,,,,,,,,,,
Abreen,hatespeech ,Refugee ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Clary,hatespeech ,Refugee ,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lei,hatespeech ,Refugee ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
